,text_regime,label,rank,term,mean_tfidf
93,text_subject_body_clean,sci.electronics,4,article,0.015769596181605686
94,text_subject_body_clean,sci.electronics,5,used,0.013833497644897599
95,text_subject_body_clean,sci.electronics,6,need,0.013488081291303324
96,text_subject_body_clean,sci.electronics,7,radio,0.013333549731448693
97,text_subject_body_clean,sci.electronics,8,good,0.012913908299967561
98,text_subject_body_clean,sci.electronics,9,copy,0.012878554378107901
99,text_subject_body_clean,sci.electronics,10,battery,0.012773202993553693
100,text_subject_body_clean,sci.electronics,11,ve,0.012079223683599127
101,text_subject_body_clean,sci.electronics,12,thanks,0.011910731986231209
102,text_subject_body_clean,sci.electronics,13,ground,0.011621030744781142
103,text_subject_body_clean,sci.electronics,14,help,0.01151388116828838
104,text_subject_body_clean,sci.electronics,15,voltage,0.011485056416613333
