doc_id,label,label_id,thread_group_id,thread_group_size,thread_group_n_classes,split
doc_00126,comp.os.ms-windows.misc,1,thread_group_00074,7,1,train
doc_00127,comp.sys.mac.hardware,3,thread_group_01014,7,1,train
doc_00128,comp.os.ms-windows.misc,1,thread_group_00826,2,1,train
doc_00129,sci.electronics,6,thread_group_00075,1,1,train
doc_00130,sci.electronics,6,thread_group_00076,3,1,train
doc_00131,comp.sys.ibm.pc.hardware,2,thread_group_00077,2,1,train
doc_00132,comp.windows.x,4,thread_group_00078,1,1,train
doc_00133,comp.sys.ibm.pc.hardware,2,thread_group_00079,1,1,train
doc_00134,comp.sys.ibm.pc.hardware,2,thread_group_00080,1,1,train
doc_00135,sci.crypt,5,thread_group_00118,234,1,train
doc_00136,comp.sys.ibm.pc.hardware,2,thread_group_00081,1,1,train
doc_00137,comp.graphics,0,thread_group_00082,1,1,val
doc_00138,comp.graphics,0,thread_group_00083,3,1,train
doc_00139,sci.crypt,5,thread_group_00084,27,1,test
doc_00140,comp.sys.mac.hardware,3,thread_group_01404,2,1,train
doc_00141,comp.sys.ibm.pc.hardware,2,thread_group_00085,4,1,train
doc_00142,comp.windows.x,4,thread_group_02527,2,1,train
doc_00143,sci.crypt,5,thread_group_00987,6,1,test
doc_00144,comp.sys.mac.hardware,3,thread_group_00086,1,1,train
doc_00145,sci.electronics,6,thread_group_00087,1,1,train
doc_00146,sci.crypt,5,thread_group_00118,234,1,train
doc_00147,comp.sys.mac.hardware,3,thread_group_02470,2,1,val
doc_00148,comp.os.ms-windows.misc,1,thread_group_00088,7,1,train
doc_00149,comp.sys.ibm.pc.hardware,2,thread_group_00089,1,1,train
doc_00150,comp.graphics,0,thread_group_00090,5,1,test
doc_00151,comp.os.ms-windows.misc,1,thread_group_00091,1,1,val
doc_00152,sci.crypt,5,thread_group_02627,13,1,val
doc_00153,comp.os.ms-windows.misc,1,thread_group_02251,2,1,train
doc_00154,comp.os.ms-windows.misc,1,thread_group_00092,13,1,train
doc_00155,comp.windows.x,4,thread_group_00093,1,1,val
doc_00156,comp.graphics,0,thread_group_00094,2,1,test
doc_00157,comp.os.ms-windows.misc,1,thread_group_00095,3,1,train
doc_00158,sci.electronics,6,thread_group_00096,11,1,train
doc_00159,sci.electronics,6,thread_group_00097,1,1,test
doc_00160,comp.graphics,0,thread_group_00098,1,1,val
doc_00161,sci.electronics,6,thread_group_00099,1,1,val
doc_00162,sci.electronics,6,thread_group_01840,4,1,train
doc_00163,comp.os.ms-windows.misc,1,thread_group_00385,4,1,test
doc_00164,sci.electronics,6,thread_group_00100,1,1,test
doc_00165,comp.sys.ibm.pc.hardware,2,thread_group_00101,8,1,train
doc_00166,comp.graphics,0,thread_group_00102,1,1,train
doc_00167,comp.graphics,0,thread_group_00784,4,1,test
doc_00168,comp.os.ms-windows.misc,1,thread_group_00103,2,1,val
doc_00169,comp.sys.mac.hardware,3,thread_group_00104,1,1,train
doc_00170,sci.electronics,6,thread_group_00105,1,1,train
doc_00171,comp.sys.mac.hardware,3,thread_group_02842,4,1,train
doc_00172,comp.sys.mac.hardware,3,thread_group_00106,7,1,test
doc_00173,sci.crypt,5,thread_group_00107,1,1,test
doc_00174,comp.windows.x,4,thread_group_00108,3,1,train
doc_00175,sci.electronics,6,thread_group_00109,2,1,train
doc_00176,comp.sys.mac.hardware,3,thread_group_00110,2,1,train
doc_00177,sci.crypt,5,thread_group_00068,9,1,train
doc_00178,comp.graphics,0,thread_group_00111,1,1,train
doc_00179,sci.crypt,5,thread_group_00112,1,1,train
doc_00180,comp.sys.ibm.pc.hardware,2,thread_group_00113,3,1,train
doc_00181,comp.os.ms-windows.misc,1,thread_group_00114,1,1,train
doc_00182,comp.windows.x,4,thread_group_00115,3,1,train
doc_00183,comp.os.ms-windows.misc,1,thread_group_00116,1,1,train
doc_00184,sci.crypt,5,thread_group_00613,22,1,val
doc_00185,sci.electronics,6,thread_group_00117,3,1,test
doc_00186,sci.electronics,6,thread_group_00019,8,1,train
doc_00187,sci.crypt,5,thread_group_00118,234,1,train
doc_00188,sci.crypt,5,thread_group_00119,1,1,train
doc_00189,sci.crypt,5,thread_group_00118,234,1,train
doc_00190,comp.sys.ibm.pc.hardware,2,thread_group_00754,2,1,train
doc_00191,comp.os.ms-windows.misc,1,thread_group_00120,2,1,train
doc_00192,sci.electronics,6,thread_group_00121,1,1,train
doc_00193,sci.crypt,5,thread_group_00122,1,1,train
doc_00194,comp.graphics,0,thread_group_02429,2,1,train
doc_00195,sci.electronics,6,thread_group_03052,2,1,val
doc_00196,comp.sys.mac.hardware,3,thread_group_00123,1,1,train
doc_00197,sci.electronics,6,thread_group_00124,1,1,train
doc_00198,comp.sys.ibm.pc.hardware,2,thread_group_00125,1,1,train
doc_00199,sci.electronics,6,thread_group_00126,1,1,train
doc_00200,comp.sys.mac.hardware,3,thread_group_00127,1,1,val
doc_00201,comp.sys.mac.hardware,3,thread_group_00128,2,1,train
doc_00202,comp.sys.mac.hardware,3,thread_group_00129,3,1,val
doc_00203,sci.electronics,6,thread_group_03396,2,1,train
doc_00204,comp.windows.x,4,thread_group_03122,2,1,train
doc_00205,comp.sys.mac.hardware,3,thread_group_00130,1,1,train
doc_00206,comp.os.ms-windows.misc,1,thread_group_01811,2,1,train
doc_00207,sci.crypt,5,thread_group_00131,9,1,test
doc_00208,comp.sys.ibm.pc.hardware,2,thread_group_00132,7,1,test
doc_00209,sci.electronics,6,thread_group_00133,1,1,test
doc_00210,comp.os.ms-windows.misc,1,thread_group_01810,2,1,train
doc_00211,comp.os.ms-windows.misc,1,thread_group_01314,3,1,train
doc_00212,comp.graphics,0,thread_group_00134,4,1,train
doc_00213,sci.electronics,6,thread_group_00135,1,1,val
doc_00214,sci.electronics,6,thread_group_02275,21,1,train
doc_00215,sci.crypt,5,thread_group_00136,32,1,test
doc_00216,sci.electronics,6,thread_group_00137,3,1,test
doc_00217,sci.crypt,5,thread_group_00118,234,1,train
doc_00218,comp.sys.mac.hardware,3,thread_group_00138,1,1,train
doc_00219,comp.sys.mac.hardware,3,thread_group_00139,4,1,train
doc_00220,comp.sys.ibm.pc.hardware,2,thread_group_00140,1,1,train
doc_00221,comp.os.ms-windows.misc,1,thread_group_00141,3,1,train
doc_00222,comp.graphics,0,thread_group_00142,1,1,train
doc_00223,sci.electronics,6,thread_group_00143,5,1,train
doc_00224,comp.os.ms-windows.misc,1,thread_group_00144,4,1,val
doc_00225,comp.windows.x,4,thread_group_00145,1,1,train
doc_00226,comp.windows.x,4,thread_group_00146,4,1,train
doc_00227,comp.sys.mac.hardware,3,thread_group_00924,3,1,test
doc_00228,comp.sys.ibm.pc.hardware,2,thread_group_00147,1,1,train
doc_00229,comp.os.ms-windows.misc,1,thread_group_00148,1,1,val
doc_00230,comp.os.ms-windows.misc,1,thread_group_01635,3,1,test
doc_00231,sci.crypt,5,thread_group_00149,10,1,train
doc_00232,comp.sys.ibm.pc.hardware,2,thread_group_00150,1,1,train
doc_00233,comp.windows.x,4,thread_group_00151,3,1,train
doc_00234,comp.windows.x,4,thread_group_00152,1,1,test
doc_00235,sci.crypt,5,thread_group_00118,234,1,train
doc_00236,comp.sys.mac.hardware,3,thread_group_00153,1,1,train
doc_00237,comp.os.ms-windows.misc,1,thread_group_00154,6,1,train
doc_00238,sci.electronics,6,thread_group_01854,17,1,train
doc_00239,comp.sys.ibm.pc.hardware,2,thread_group_00155,3,1,train
doc_00240,comp.windows.x,4,thread_group_00156,1,1,test
doc_00241,comp.os.ms-windows.misc,1,thread_group_00157,6,1,train
doc_00242,comp.windows.x,4,thread_group_00158,3,1,val
doc_00243,sci.electronics,6,thread_group_00159,1,1,train
doc_00244,comp.sys.mac.hardware,3,thread_group_00160,1,1,test
doc_00245,comp.windows.x,4,thread_group_00161,8,1,train
doc_00246,comp.graphics,0,thread_group_01692,2,1,train
doc_00247,comp.windows.x,4,thread_group_00162,1,1,train
doc_00248,comp.windows.x,4,thread_group_00163,1,1,train
doc_00249,comp.sys.mac.hardware,3,thread_group_00164,4,1,train
doc_00250,comp.sys.mac.hardware,3,thread_group_00165,4,1,train
doc_00251,comp.graphics,0,thread_group_00065,26,1,train
doc_00252,sci.crypt,5,thread_group_00166,1,1,val
doc_00253,sci.electronics,6,thread_group_00167,1,1,val
doc_00254,comp.sys.mac.hardware,3,thread_group_00168,1,1,train
doc_00255,comp.windows.x,4,thread_group_00169,1,1,train
doc_00256,comp.os.ms-windows.misc,1,thread_group_00170,1,1,train
doc_00257,comp.windows.x,4,thread_group_03259,2,1,val
doc_00258,comp.graphics,0,thread_group_02319,19,1,train
doc_00259,sci.crypt,5,thread_group_00171,6,1,train
doc_00260,sci.crypt,5,thread_group_00172,1,1,train
doc_00261,comp.os.ms-windows.misc,1,thread_group_00173,1,1,train
doc_00262,comp.sys.mac.hardware,3,thread_group_00174,1,1,train
doc_00263,sci.electronics,6,thread_group_00175,5,1,train
doc_00264,comp.windows.x,4,thread_group_00176,1,1,train
doc_00265,comp.graphics,0,thread_group_00177,1,1,train
doc_00266,comp.sys.ibm.pc.hardware,2,thread_group_00178,1,1,train
doc_00267,comp.graphics,0,thread_group_00179,1,1,test
doc_00268,comp.sys.ibm.pc.hardware,2,thread_group_00180,1,1,train
doc_00269,comp.graphics,0,thread_group_00928,11,1,train
doc_00270,comp.graphics,0,thread_group_00181,3,1,test
doc_00271,comp.sys.ibm.pc.hardware,2,thread_group_00182,2,1,train
doc_00272,comp.os.ms-windows.misc,1,thread_group_00183,1,1,train
doc_00273,comp.graphics,0,thread_group_00184,1,1,train
doc_00274,comp.graphics,0,thread_group_00185,2,1,test
doc_00275,sci.electronics,6,thread_group_00186,7,1,train
doc_00276,sci.electronics,6,thread_group_00187,1,1,train
doc_00277,comp.sys.mac.hardware,3,thread_group_00188,2,1,train
doc_00278,comp.windows.x,4,thread_group_00189,1,1,train
doc_00279,comp.os.ms-windows.misc,1,thread_group_00190,1,1,train
doc_00280,sci.electronics,6,thread_group_00191,1,1,train
doc_00281,sci.electronics,6,thread_group_00192,1,1,val
doc_00282,comp.windows.x,4,thread_group_00193,3,1,train
doc_00283,comp.graphics,0,thread_group_00194,3,1,train
doc_00284,comp.sys.ibm.pc.hardware,2,thread_group_01933,4,1,train
doc_00285,sci.crypt,5,thread_group_00118,234,1,train
doc_00286,comp.os.ms-windows.misc,1,thread_group_00095,3,1,train
doc_00287,comp.os.ms-windows.misc,1,thread_group_00195,3,1,test
doc_00288,sci.crypt,5,thread_group_00196,19,1,train
doc_00289,sci.electronics,6,thread_group_00197,4,1,train
doc_00290,comp.os.ms-windows.misc,1,thread_group_00198,2,1,test
doc_00291,comp.sys.mac.hardware,3,thread_group_00199,1,1,test
doc_00292,sci.crypt,5,thread_group_00118,234,1,train
doc_00293,comp.windows.x,4,thread_group_00200,1,1,train
doc_00294,comp.windows.x,4,thread_group_00201,1,1,test
doc_00295,comp.os.ms-windows.misc,1,thread_group_00202,1,1,train
doc_00296,comp.os.ms-windows.misc,1,thread_group_00203,9,1,train
doc_00297,sci.crypt,5,thread_group_02824,3,1,train
doc_00298,comp.graphics,0,thread_group_02732,2,1,train
doc_00299,comp.os.ms-windows.misc,1,thread_group_00204,1,1,train
doc_00300,comp.windows.x,4,thread_group_00205,26,1,test
doc_00301,comp.windows.x,4,thread_group_02578,2,1,train
doc_00302,sci.electronics,6,thread_group_00206,3,1,train
doc_00303,comp.sys.mac.hardware,3,thread_group_02786,2,1,train
doc_00304,comp.os.ms-windows.misc,1,thread_group_00207,5,1,train
doc_00305,sci.crypt,5,thread_group_01425,3,1,train
doc_00306,comp.graphics,0,thread_group_00208,1,1,train
doc_00307,comp.sys.mac.hardware,3,thread_group_02288,2,1,test
doc_00308,comp.sys.ibm.pc.hardware,2,thread_group_00478,3,1,val
doc_00309,comp.graphics,0,thread_group_01946,2,1,train
doc_00310,comp.os.ms-windows.misc,1,thread_group_00209,1,1,train
doc_00311,comp.sys.ibm.pc.hardware,2,thread_group_00210,1,1,test
doc_00312,sci.electronics,6,thread_group_00096,11,1,train
doc_00313,sci.crypt,5,thread_group_00118,234,1,train
doc_00314,comp.graphics,0,thread_group_00211,1,1,train
doc_00315,comp.os.ms-windows.misc,1,thread_group_00212,7,1,train
doc_00316,comp.windows.x,4,thread_group_00213,3,1,test
doc_00317,comp.windows.x,4,thread_group_00214,1,1,train
doc_00318,comp.os.ms-windows.misc,1,thread_group_00215,11,1,train
doc_00319,comp.os.ms-windows.misc,1,thread_group_00220,5,1,train
doc_00320,comp.sys.mac.hardware,3,thread_group_03346,2,1,val
doc_00321,comp.sys.mac.hardware,3,thread_group_00216,2,1,train
doc_00322,comp.os.ms-windows.misc,1,thread_group_00217,1,1,train
doc_00323,comp.sys.ibm.pc.hardware,2,thread_group_00077,2,1,train
doc_00324,comp.sys.mac.hardware,3,thread_group_00218,2,1,train
doc_00325,comp.sys.mac.hardware,3,thread_group_00219,4,1,test
doc_00326,comp.windows.x,4,thread_group_01322,3,1,val
doc_00327,comp.os.ms-windows.misc,1,thread_group_00220,5,1,train
doc_00328,comp.os.ms-windows.misc,1,thread_group_00221,4,1,train
doc_00329,comp.os.ms-windows.misc,1,thread_group_00222,4,1,train
doc_00330,sci.crypt,5,thread_group_00223,5,1,train
doc_00331,sci.crypt,5,thread_group_00224,14,1,train
doc_00332,sci.crypt,5,thread_group_00479,18,1,train
doc_00333,comp.graphics,0,thread_group_00225,3,1,val
doc_00334,comp.sys.mac.hardware,3,thread_group_00226,1,1,test
doc_00335,sci.crypt,5,thread_group_00779,38,1,train
doc_00336,comp.windows.x,4,thread_group_00227,2,1,train
doc_00337,comp.os.ms-windows.misc,1,thread_group_00228,1,1,train
doc_00338,comp.graphics,0,thread_group_00066,7,1,train
doc_00339,comp.windows.x,4,thread_group_00229,1,1,val
doc_00340,sci.crypt,5,thread_group_01802,8,1,train
doc_00341,comp.os.ms-windows.misc,1,thread_group_00230,3,1,test
doc_00342,sci.crypt,5,thread_group_00231,47,1,val
doc_00343,comp.windows.x,4,thread_group_00232,1,1,train
doc_00344,sci.crypt,5,thread_group_00118,234,1,train
doc_00345,comp.windows.x,4,thread_group_00233,1,1,train
doc_00346,comp.os.ms-windows.misc,1,thread_group_00234,1,1,train
doc_00347,sci.electronics,6,thread_group_00235,3,1,train
doc_00348,comp.sys.ibm.pc.hardware,2,thread_group_00236,1,1,val
doc_00349,sci.electronics,6,thread_group_00237,1,1,train
doc_00350,comp.os.ms-windows.misc,1,thread_group_00238,1,1,train
doc_00351,comp.windows.x,4,thread_group_00859,4,1,train
doc_00352,comp.sys.mac.hardware,3,thread_group_00239,1,1,train
doc_00353,comp.sys.mac.hardware,3,thread_group_00240,3,1,train
doc_00354,comp.os.ms-windows.misc,1,thread_group_00339,4,1,test
doc_00355,comp.graphics,0,thread_group_00134,4,1,train
doc_00356,comp.graphics,0,thread_group_00241,1,1,val
doc_00357,comp.os.ms-windows.misc,1,thread_group_00088,7,1,train
doc_00358,comp.sys.mac.hardware,3,thread_group_00242,1,1,train
doc_00359,comp.sys.mac.hardware,3,thread_group_00243,9,1,train
doc_00360,comp.os.ms-windows.misc,1,thread_group_00244,1,1,test
doc_00361,comp.sys.ibm.pc.hardware,2,thread_group_00245,1,1,train
doc_00362,comp.os.ms-windows.misc,1,thread_group_00246,2,1,val
doc_00363,comp.windows.x,4,thread_group_00331,7,1,train
doc_00364,comp.windows.x,4,thread_group_00247,1,1,train
doc_00365,comp.sys.mac.hardware,3,thread_group_00248,3,1,train
doc_00366,comp.os.ms-windows.misc,1,thread_group_00249,3,1,test
doc_00367,comp.sys.ibm.pc.hardware,2,thread_group_00055,8,1,train
doc_00368,comp.sys.ibm.pc.hardware,2,thread_group_00250,3,1,train
doc_00369,comp.sys.ibm.pc.hardware,2,thread_group_00251,3,1,train
doc_00370,comp.sys.ibm.pc.hardware,2,thread_group_00252,2,1,train
doc_00371,comp.windows.x,4,thread_group_00108,3,1,train
doc_00372,sci.electronics,6,thread_group_00253,6,1,train
doc_00373,sci.crypt,5,thread_group_00987,6,1,test
doc_00374,comp.sys.mac.hardware,3,thread_group_00254,1,1,train
doc_00375,sci.electronics,6,thread_group_00255,17,1,train
doc_00376,comp.windows.x,4,thread_group_00256,1,1,train
doc_00377,comp.sys.mac.hardware,3,thread_group_00257,1,1,test
doc_00378,sci.crypt,5,thread_group_00196,19,1,train
doc_00379,comp.os.ms-windows.misc,1,thread_group_00258,1,1,test
doc_00380,sci.crypt,5,thread_group_02627,13,1,val
doc_00381,comp.windows.x,4,thread_group_00259,1,1,train
doc_00382,sci.crypt,5,thread_group_00260,10,1,train
doc_00383,comp.windows.x,4,thread_group_00261,1,1,test
doc_00384,comp.os.ms-windows.misc,1,thread_group_00215,11,1,train
doc_00385,comp.graphics,0,thread_group_00262,1,1,train
doc_00386,comp.graphics,0,thread_group_00263,2,1,train
doc_00387,comp.windows.x,4,thread_group_00264,5,1,test
doc_00388,comp.sys.mac.hardware,3,thread_group_00265,1,1,val
doc_00389,sci.crypt,5,thread_group_00779,38,1,train
doc_00390,comp.graphics,0,thread_group_00508,13,1,val
doc_00391,comp.sys.mac.hardware,3,thread_group_00106,7,1,test
doc_00392,comp.os.ms-windows.misc,1,thread_group_00249,3,1,test
doc_00393,sci.crypt,5,thread_group_00266,10,1,train
doc_00394,comp.windows.x,4,thread_group_00267,1,1,train
doc_00395,comp.sys.ibm.pc.hardware,2,thread_group_00268,10,1,val
doc_00396,comp.os.ms-windows.misc,1,thread_group_00074,7,1,train
doc_00397,comp.sys.mac.hardware,3,thread_group_00269,2,1,test
doc_00398,sci.crypt,5,thread_group_00118,234,1,train
doc_00399,sci.electronics,6,thread_group_00270,4,1,test
doc_00400,comp.sys.mac.hardware,3,thread_group_00271,1,1,train
doc_00401,comp.graphics,0,thread_group_01083,20,1,train
doc_00402,comp.sys.mac.hardware,3,thread_group_00272,1,1,train
doc_00403,comp.graphics,0,thread_group_00273,1,1,train
doc_00404,sci.crypt,5,thread_group_00274,1,1,train
doc_00405,comp.sys.mac.hardware,3,thread_group_02673,3,1,train
doc_00406,comp.os.ms-windows.misc,1,thread_group_01577,2,1,train
doc_00407,comp.os.ms-windows.misc,1,thread_group_03207,2,1,train
doc_00408,comp.windows.x,4,thread_group_00275,2,1,train
doc_00409,comp.os.ms-windows.misc,1,thread_group_00276,4,1,train
doc_00410,comp.sys.mac.hardware,3,thread_group_00277,1,1,train
doc_00411,comp.graphics,0,thread_group_00650,13,1,train
doc_00412,sci.crypt,5,thread_group_00779,38,1,train
doc_00413,sci.crypt,5,thread_group_00118,234,1,train
doc_00414,comp.graphics,0,thread_group_00278,1,1,test
doc_00415,sci.electronics,6,thread_group_00440,4,1,test
doc_00416,comp.os.ms-windows.misc,1,thread_group_00279,3,1,train
doc_00417,comp.graphics,0,thread_group_00083,3,1,train
doc_00418,sci.electronics,6,thread_group_00186,7,1,train
doc_00419,comp.sys.mac.hardware,3,thread_group_00280,3,1,train
doc_00420,comp.windows.x,4,thread_group_00281,1,1,train
doc_00421,comp.windows.x,4,thread_group_00282,1,1,train
doc_00422,comp.os.ms-windows.misc,1,thread_group_00283,1,1,train
doc_00423,comp.graphics,0,thread_group_00284,1,1,train
doc_00424,comp.sys.ibm.pc.hardware,2,thread_group_00101,8,1,train
doc_00425,comp.graphics,0,thread_group_00285,1,1,train
doc_00426,comp.os.ms-windows.misc,1,thread_group_00286,8,1,test
doc_00427,sci.electronics,6,thread_group_00287,1,1,train
